code_dpt,dpt,code_circ,circ,code_commune,commune,code_b_vote,cp,id_b_vote,inscrits,abstentions,p_abs/ins,votants,p_vot/ins,blancs,p_blancs/ins,p_blancs/vot,nuls,p_nuls/ins,p_nuls/vot,exprimés,p_exp/ins,p_exp/vot,n_panneau,sexe,nom,prenom,nuance,voix,p_voix/ins,p_voix/exp
84,Vaucluse,5,5ème circonscription,31,Carpentras,6,84031,Carpentras-6,670,323,48.21,347,51.79,8,1.19,2.31,1,0.15,0.29,338,50.45,97.41,-,-,nuls,-,-,1.0,0.15,0.29
84,Vaucluse,5,5ème circonscription,31,Carpentras,7,84031,Carpentras-7,950,638,67.16,312,32.84,7,0.74,2.24,4,0.42,1.28,301,31.68,96.47,-,-,abstention,-,-,638.0,67.16,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,7,84031,Carpentras-7,950,638,67.16,312,32.84,7,0.74,2.24,4,0.42,1.28,301,31.68,96.47,-,-,blancs,-,-,7.0,0.74,2.24
84,Vaucluse,5,5ème circonscription,31,Carpentras,7,84031,Carpentras-7,950,638,67.16,312,32.84,7,0.74,2.24,4,0.42,1.28,301,31.68,96.47,-,-,nuls,-,-,4.0,0.42,1.28
84,Vaucluse,5,5ème circonscription,31,Carpentras,8,84031,Carpentras-8,1139,603,52.94,536,47.06,4,0.35,0.75,3,0.26,0.56,529,46.44,98.69,-,-,abstention,-,-,603.0,52.94,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,8,84031,Carpentras-8,1139,603,52.94,536,47.06,4,0.35,0.75,3,0.26,0.56,529,46.44,98.69,-,-,blancs,-,-,4.0,0.35,0.75
84,Vaucluse,5,5ème circonscription,31,Carpentras,8,84031,Carpentras-8,1139,603,52.94,536,47.06,4,0.35,0.75,3,0.26,0.56,529,46.44,98.69,-,-,nuls,-,-,3.0,0.26,0.56
84,Vaucluse,5,5ème circonscription,31,Carpentras,9,84031,Carpentras-9,1027,556,54.14,471,45.86,9,0.88,1.91,5,0.49,1.06,457,44.5,97.03,-,-,abstention,-,-,556.0,54.14,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,9,84031,Carpentras-9,1027,556,54.14,471,45.86,9,0.88,1.91,5,0.49,1.06,457,44.5,97.03,-,-,blancs,-,-,9.0,0.88,1.91
84,Vaucluse,5,5ème circonscription,31,Carpentras,9,84031,Carpentras-9,1027,556,54.14,471,45.86,9,0.88,1.91,5,0.49,1.06,457,44.5,97.03,-,-,nuls,-,-,5.0,0.49,1.06
84,Vaucluse,5,5ème circonscription,31,Carpentras,10,84031,Carpentras-10,853,512,60.02,341,39.98,11,1.29,3.23,7,0.82,2.05,323,37.87,94.72,-,-,abstention,-,-,512.0,60.02,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,10,84031,Carpentras-10,853,512,60.02,341,39.98,11,1.29,3.23,7,0.82,2.05,323,37.87,94.72,-,-,blancs,-,-,11.0,1.29,3.23
84,Vaucluse,5,5ème circonscription,31,Carpentras,10,84031,Carpentras-10,853,512,60.02,341,39.98,11,1.29,3.23,7,0.82,2.05,323,37.87,94.72,-,-,nuls,-,-,7.0,0.82,2.05
84,Vaucluse,5,5ème circonscription,31,Carpentras,11,84031,Carpentras-11,1002,616,61.48,386,38.52,6,0.6,1.55,2,0.2,0.52,378,37.72,97.93,-,-,abstention,-,-,616.0,61.48,0.0
84,Vaucluse,5,5ème circonscription,31,Carpentras,11,84031,Carpentras-11,1002,616,61.48,386,38.52,6,0.6,1.55,2,0.2,0.52,378,37.72,97.93,-,-,blancs,-,-,6.0,0.6,1.55
84,Vaucluse,5,5ème circonscription,31,Carpentras,11,84031,Carpentras-11,1002,616,61.48,386,38.52,6,0.6,1.55,2,0.2,0.52,378,37.72,97.93,-,-,nuls,-,-,2.0,0.2,0.52
84,Vaucluse,5,5ème circonscription,32,Caseneuve,1,84032,Caseneuve-1,383,153,39.95,230,60.05,2,0.52,0.87,3,0.78,1.3,225,58.75,97.83,-,-,abstention,-,-,153.0,39.95,0.0
84,Vaucluse,5,5ème circonscription,32,Caseneuve,1,84032,Caseneuve-1,383,153,39.95,230,60.05,2,0.52,0.87,3,0.78,1.3,225,58.75,97.83,-,-,blancs,-,-,2.0,0.52,0.87
